"date","minute","variable","value","formatted_date","text","top_angry","top_sadness","top_surprise","top_happiness","top_disgust"
"1_23_17",15,"surprise",0.116098330316667,2017-01-23,"to the hard work that they do to pay their taxes. And I think that that comes in to your question in overall spending as well. We&amp;#39;ve got to look at how we&amp;#39;re spending the American people&amp;#39;s tax money, and so what the work - what the landing teams have been doing is going into these agencies and departments and talking about ways that we can create greater efficiencies, eliminate duplicity, and find maximize the tax dollar. So it&amp;#39;s more a question instead of just cutting. It&amp;#39;s about how do we spend and respect the American taxpayer dollar more going forward. April Ryan? The Press: And the 15 to 20 percent? Sorry. Mr. Spicer: Oh, I&amp;#39;m sorry. Look - the President&amp;#39;s a very successful businessman and negotiator. He&amp;#39;s going to sit down and work with Congress to get the best deal possible for American businesses so that they can hire more people and we can grow the economy. So he&amp;#39;s going to work with Congress on that rate. But he understands better than anybody how to negotiate a great deal, and right now, he&amp;#39;s going to negotiate the best deal on behalf of the American",FALSE,FALSE,TRUE,FALSE,FALSE
"1_23_17",64,"happiness",0.348258149548387,2017-01-23,"already a decision then we wouldn&amp;#39;t be going through a process. I just answered the -- thanks, Julie. Jim? The Press: First of all, congratulations and thanks for taking the question. Getting back to Saturday at the CIA and your statement here at the podium, why make this crowd side issue -- or crowd size issue something to talk about at all? I mean, why get into it? Did it bother the President that much that he felt that you needed to come out here and straighten that out for us? And why did he choose the CIA as the venue to talk about that? Mr. Spicer: So two things -- one, I just got handed a note. All of the people were not -- no one in the front row was Trump, they were all CIA. The Press: Front row? Mr. Spicer: That&amp;#39;s what you asked. The Press: So the first three rows. Mr. Spicer: (laughs) I&amp;#39;l find out who the other two were. I&amp;#39;m sorry; I just got you the front row. Give me a second I&amp;#39;ll get the second and the third. Are we going to get to the fourth and the fifth? Okay, so let me see what I can do. Look, I think one of the things that happened, Jim,",FALSE,FALSE,FALSE,TRUE,FALSE
"1_24_17",35,"happiness",0.386577602321429,2017-01-24,"But most of these companies -- I mean, Johnson and Johnson is clearly a multinational company; Dow. You go down the list of the individuals that he met with yesterday and then you take the auto industry that was here today -- Ford; Chrysler; GM -- they all have massive overseas investments, and I think part of the problem that he was talking about is greater market access for them, the ability to get into markets that we might not want -- they may have trouble with. Yes? Yeah? (crosstalk) FeThe Press: Sorry, small follow-up. Are there any plans to still -- has the President issued his official invitation to the Prime Minister of Ireland to come here for the traditional St. Patrick&amp;#39;s Day celebration? Mr. Spicer: No, but I&amp;#39;m going to get on that right away. (laughter) Mr. Spicer: Thank you for bringing that up. I just -- that&amp;#39;s on the list. Can we write that one down? Hold on. Blake? The Press: So, to piggyback off that, yesterday the President met with -- Mr. Spicer: More Irish. The Press: Not of the Irish. Yesterday, the President met with CEOs, broad-based; met with union leaders, broad-based. Today, though, he specifically met with auto leaders. Why was that his choice as the first industry to meet",FALSE,FALSE,FALSE,TRUE,FALSE
"1_25_17",20,"surprise",0.130031964966667,2017-01-25,"can be resolved that will help them do their job better to keep the people of Chicago safer. And what he wants to do is provide the resources of the federal government and it can span a bunch of things. There&amp;#39;s no one thing it can be -- you know there can be aid, there can be if was requested up through the governor, through the proper channels, that the federal government can provide on a law enforcement basis. But there&amp;#39;s other aid that can be extended as well either through the U.S. Attorney&amp;#39;s Office or other means that will ensure that the people of Chicago have the resources to feel safe. That&amp;#39;s what he means Lynn. And part of it is that no American, whether or not you live in Chicago or Nebraska shouldn&amp;#39;t feel like you can walk down the streets of a city or the streets of a city in this country and fear for your life. And I think too often that&amp;#39;s happening in Chicago. The Press: What will happen next just so we know the time table? Mr. Spicer: I think next is we&amp;#39;ll get hopefully get a dialog started with Mayor Emanuel. Try to figure out what a path forward can be so that we get -- we come up with a plan that can keep",FALSE,FALSE,TRUE,FALSE,FALSE
"1_25_17",25,"surprise",0.166557720222222,2017-01-25,"voter ID law which went to the Supreme Court. He has long advocated other states following the Indiana example all states adopting voter ID. Mr. Spicer: Right. The Press: Is that something the President would get behind to achieve? Mr. Spicer: I think the President&amp;#39;s number one goal is to make sure that we -- I mean Georgia is another great example of a state that implemented a very successful voter ID program. And I think that&amp;#39;s what the President&amp;#39;s -- you know one of several things. But, lets -- the first step is for him to get this you know I don&amp;#39;t want to call it a task force yet because it&amp;#39;s not there yet. But this effort underway that can look at the scope of the problem and then John maybe make some recommendations. And maybe it is voter ID in states. But right now, we&amp;#39;ve got 50 states and the territories that all have various different ID&amp;#39;s and I know that there&amp;#39;s some compliance issues to make sure. But part of that is to figure out the extent of the problem. In some states, what it takes to get a driver&amp;#39;s",FALSE,FALSE,TRUE,FALSE,FALSE
"1_30_17",24,"disgust",0.0594388501632653,2017-01-30,"the next threat&amp;#39;s coming. You don&amp;#39;t know when the next attack&amp;#39;s coming. And so the best you can do is to get ahead of it. Because if you wait, you&amp;#39;re going to be reacting. And what I think I want to be clear on is the President&amp;#39;s not going to wait. He&amp;#39;s going to make sure he does everything in his power when he can to protect the homeland and his people. That&amp;#39;s it. And so getting ahead of threats is the key. Not waiting till they happen, not saying, &amp;quot;Hey, once it happens how do we react to make sure it doesn&amp;#39;t happen again?&amp;quot; I think what I want to be clear about is that since becoming President he&amp;#39;s continued to take steps through executive order and otherwise to make sure that this country is as safe as can be and that we&amp;#39;re ahead of every threat. The Press: In other words, it was not put in place on the timeline it was put in place and the procedures it was put in place because of specific intelligence that was suggesting something needed -- Mr. Spicer: No, no, no. No, no. I&amp;#39;m not saying that at all. The Press: Okay, I just wanted to make sure on that. Mr. Spicer: All I&amp;#39;m saying is that his view in general is not to wait to get ahead of the curve. Are -- his -- there wasn&amp;#39;t a specific threat that was saying, &amp;quot;You have to do this Saturday.",FALSE,FALSE,FALSE,FALSE,TRUE
"1_30_17",4,"sadness",0.226800163766441,2017-01-30,"address online. Over 1.1 million people engaged with the post via comments, likes, and other interactions. And as of this morning, the video had been viewed almost 5 million times. And just as he did throughout the campaign, this is another example of the President being able to take his message directly to the American people. On Saturday, the President signed three executive actions on issues ranging from government ethics to national security. As part of the President&amp;#39;s plan to drain the swamp in Washington and return power to the American people, he signed an executive order imposing strict post-employment rules on all federal political appointees including a five-year lobbying ban and a lifetime ban for foreign government lobbying among other restrictions. The President continues to make it very, very clear that if you want to be part of a Trump administration you&amp;#39;re going to be putting -- serving the country, not yourself. The President also signed a memorandum modernizing the structure of the National Security Council and the Homeland Security Council.",FALSE,TRUE,FALSE,FALSE,FALSE
"1_31_17",15,"angry",0.250845108693878,2017-01-31,"shouldn&amp;#39;t take the job. But it is the President&amp;#39;s agenda that we are fulfilling here. Trey? The Press: As it relates to the executive order today, how will the Trump administration ensure the digital privacy of all Americans as the President looks to strengthen U.S. cyber security? Mr. Spicer: Well look, I -- just to be clear on the executive order, I think one of the things that the President -- the reason the President wants Mayor Giuliani and some of these cyber experts to come in is to get their ideas to make sure that where we&amp;#39;re headed in cyber security is fulfilling the intent that ensures that our critical infrastructures throughout the government and frankly throughout business to the extent that the government can be helpful in that are protected and secured. So I just want to caution what we may or may not do today. I think the President&amp;#39;s got a pretty good idea where he&amp;#39;s going to go, but I think he wants to hear what Mayor Giuliani and some of these other experts have to say about the steps that we can take in terms of executive action that will help secure further these critical infrastructures. April? The Press: Sean, I have a couple of question. I want to go back to the issue of this travel ban.",TRUE,FALSE,FALSE,FALSE,FALSE
"1_31_17",20,"surprise",0.122637522058824,2017-01-31,"Mr. Spicer: I expect at this point it&amp;#39;ll be one on one. The Press: Thanks a lot, Sean. Does the President anticipate a difficult confirmation fight for his nominee, whoever that is? Mr. Spicer: No. I think that we&amp;#39;ve proven so far the democrats can try to obstruct, but at the end of the day the will of the American people is going to overcome that. And if, again, what I mentioned at the outset of this is the advice and consent piece of this. He and our team have met with senators from both sides of the aisle to make sure that we understand the qualities that they are looking for in the next associate justice. And I think that we have done a very, very good job of getting a nominee in place -- that will be announced tonight -- that meets the criteria they set forth. They may not like their political or philosophical background but I think the criteria in terms of academia background, time on the bench -- the expertise in criteria meets the intent of both republicans and democrats.",FALSE,FALSE,TRUE,FALSE,FALSE
"1_31_17",21,"disgust",0.0661496638666667,2017-01-31,"John Gizzi? The Press: Do you believe you can get nine democrats to support this nominee? Mr. Spicer: I do. Absolutely. Because I think at the end of the day one of the things that&amp;#39;s been a time honored tradition in this country is that we recognize that the confirmation process is -- if you&amp;#39;re -- the default is if you&amp;#39;re qualified for the position then you should be confirmed. Not the other way around. And I think that most democrats realize that at some point that is a -- having a court that is not fully operational is not the way to -- is not the political fight to have. John Gizzi. The Press: Sean, let me ask you the obvious follow up question then. At least one republican senator has said democrats have removed the filibuster from just about every other appointment aside from the Supreme Court. And he said several republicans say they would have no hesitation about moving for another nuclear option if democrats attempt a filibuster of any of the possible nominees. Is this something the President would support?",FALSE,FALSE,FALSE,FALSE,TRUE
"1_31_17",21,"surprise",0.131317882166667,2017-01-31,"John Gizzi? The Press: Do you believe you can get nine democrats to support this nominee? Mr. Spicer: I do. Absolutely. Because I think at the end of the day one of the things that&amp;#39;s been a time honored tradition in this country is that we recognize that the confirmation process is -- if you&amp;#39;re -- the default is if you&amp;#39;re qualified for the position then you should be confirmed. Not the other way around. And I think that most democrats realize that at some point that is a -- having a court that is not fully operational is not the way to -- is not the political fight to have. John Gizzi. The Press: Sean, let me ask you the obvious follow up question then. At least one republican senator has said democrats have removed the filibuster from just about every other appointment aside from the Supreme Court. And he said several republicans say they would have no hesitation about moving for another nuclear option if democrats attempt a filibuster of any of the possible nominees. Is this something the President would support?",FALSE,FALSE,TRUE,FALSE,FALSE
