frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___0.jpg,1_23_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___1.jpg,1_23_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___2.jpg,1_23_17
3,0.00557318,0.002341535,0.004360174,0.000167756,0.36348787,0.60394156,0.007127206,0.013000736,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___3.jpg,1_23_17
4,0.007064753,0.02775094,0.009252267,2.18E-05,0.232040435,0.70700103,0.000756119,0.016112637,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___4.jpg,1_23_17
5,0.001467395,0.007937845,0.00480102,6.67E-06,0.5511468,0.42117396,0.000362436,0.013103904,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___5.jpg,1_23_17
6,0.002434359,0.006894473,0.001916329,0.000156327,0.020419408,0.9077569,0.059340254,0.001081913,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___6.jpg,1_23_17
7,0.0918951,0.010301705,0.022193065,0.000670531,0.01361825,0.79319,0.004101082,0.06403027,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___7.jpg,1_23_17
8,0.016636375,0.002157413,0.012431665,0.000468148,0.003062754,0.8764664,0.085322425,0.003454813,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___8.jpg,1_23_17
9,0.00206915,0.005373482,0.003128775,0.000179281,0.027083453,0.701692164,0.2600826,0.000391069,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___9.jpg,1_23_17
10,3.71E-05,0.002062544,0.000453837,1.06E-06,0.940887749,0.055769704,0.00025464,0.00053339,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___10.jpg,1_23_17
11,0.000877467,0.000310671,0.000506073,2.04E-05,0.905477,0.069513604,0.022764707,0.000530055,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___11.jpg,1_23_17
12,0.001717799,0.002522303,0.001238965,8.39E-05,0.9201544,0.053645186,0.018753434,0.001884037,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___12.jpg,1_23_17
13,0.000101376,1.47E-06,1.30E-05,1.75E-07,0.999681056,0.000120995,6.96E-05,1.23E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___13.jpg,1_23_17
14,0.01057491,0.01078847,0.013036681,0.000418561,0.240695879,0.6953859,0.024256447,0.004843195,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___14.jpg,1_23_17
15,0.000745162,0.005920018,0.001168543,0.000197173,0.3894766,0.5044294,0.09741587,0.000647221,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___15.jpg,1_23_17
16,0.028641839,0.01392885,0.020683309,3.66E-05,0.08197072,0.845059633,0.001663554,0.008015473,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___16.jpg,1_23_17
17,0.002268278,0.000389853,0.001510103,1.89E-05,0.000455148,0.940280139,0.054670617,0.000406944,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___17.jpg,1_23_17
18,0.000730893,0.005094933,0.00125641,7.64E-05,0.171029732,0.784374654,0.036481068,0.00095589,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___18.jpg,1_23_17
19,0.002703172,0.011298482,0.004928363,0.000238308,0.255719662,0.6297396,0.09403158,0.001340868,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___19.jpg,1_23_17
