frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___0.jpg,1_24_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___1.jpg,1_24_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___2.jpg,1_24_17
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___3.jpg,1_24_17
4,0.004617847,0.025191402,0.008386526,4.72E-05,0.239320025,0.7085559,0.001582374,0.012298754,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___4.jpg,1_24_17
5,8.59E-06,1.58E-07,3.26E-07,1.50E-08,0.999947131,2.50E-05,1.85E-05,2.81E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___5.jpg,1_24_17
6,1.69E-08,2.82E-08,2.23E-07,3.75E-13,0.999999642,9.37E-08,1.43E-09,1.37E-08,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___6.jpg,1_24_17
7,3.09E-05,7.61E-07,6.86E-05,8.32E-09,0.999857843,1.51E-05,2.55E-05,1.29E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___7.jpg,1_24_17
8,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___8.jpg,1_24_17
9,1.07E-09,1.46E-09,4.22E-08,4.07E-14,0.99999994,2.17E-08,8.42E-11,3.30E-09,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___9.jpg,1_24_17
10,0.00022294,1.50E-05,8.22E-06,2.94E-07,0.9985251,0.001042603,0.000184332,1.46E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___10.jpg,1_24_17
11,0.04032631,0.05517654,0.038208265,0.000997166,0.705981255,0.0849471,0.028447691,0.045915686,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___11.jpg,1_24_17
12,0.018119033,0.026267897,0.017762395,0.000649012,0.166222826,0.7345606,0.027162433,0.009255771,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___12.jpg,1_24_17
13,0.008426508,0.005610466,0.00531516,0.000362834,0.0889206,0.8541773,0.03524229,0.001944866,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___13.jpg,1_24_17
14,0.006902011,0.001952581,0.004652468,0.000735972,0.000297017,0.9254207,0.027225317,0.032813955,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___14.jpg,1_24_17
15,0.017627511,0.002541628,0.008427555,0.000185912,0.00086454,0.9411952,0.01001557,0.019142075,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___15.jpg,1_24_17
