frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___0.jpg
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___1.jpg
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___2.jpg
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___3.jpg
4,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___4.jpg
5,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___5.jpg
6,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___6.jpg
7,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___7.jpg
8,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___8.jpg
9,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___9.jpg
10,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___10.jpg
11,0.123688519,0.330214679,0.0785635,0.0002625665,0.0596117824,0.365715176,0.00290423632,0.0390395559,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___11.jpg
12,0.00719035137,0.003333034,0.003929582,0.0006153416,0.008142586,0.90192163,0.06949685,0.00537064066,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___12.jpg
13,0.009347881,0.00345353177,0.0125968605,0.0004016601,0.0111506572,0.9157239,0.0295288786,0.0177966226,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___13.jpg
14,0.00677481154,0.004521234,0.003363108,3.4135257e-05,0.00075554807,0.8292871,0.15511626,0.000147768034,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___14.jpg
15,0.00433197245,0.00044912647,0.00236211787,8.331394e-05,4.32091874e-05,0.8032507,0.188172936,0.00130664185,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___15.jpg
16,0.0137154758,0.000907043053,0.009378938,0.000175784,0.000241584785,0.8639187,0.108826488,0.00283595221,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___16.jpg
17,0.0222291369,0.00310222269,0.0190557931,0.0018825517,0.000225688171,0.787123561,0.138857543,0.0275235288,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___17.jpg
18,0.00194640411,0.000374842115,0.00102006993,2.45667034e-05,0.00014596805,0.770907342,0.225417644,0.0001631964,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___18.jpg
19,0.00220514927,0.000189975675,0.0009265711,9.307273e-06,2.95146583e-05,0.779440165,0.217059329,0.0001400173,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___19.jpg
20,0.134457171,0.009778847,0.0198544431,0.000145350627,0.000506954035,0.8204718,0.00194439711,0.01284104,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___20.jpg
21,0.07753908,0.00135857356,0.02210865,0.000145941915,0.000132139074,0.837383,0.00400696648,0.05732568,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___21.jpg
22,0.184352666,0.01328707,0.0923085958,0.00140584353,0.000297766557,0.5904506,0.01401479,0.103882685,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___22.jpg
23,0.04385502,0.00130037416,0.0175626557,0.000250781246,1.39145041e-05,0.6179193,0.318037868,0.001060064,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___23.jpg
24,0.0512183346,0.000700026867,0.0125885149,0.0008063502,9.698494e-06,0.5401113,0.392958432,0.00160735776,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___24.jpg
25,0.0296869166,0.000690121669,0.009544506,0.000251602381,1.52550929e-05,0.7424944,0.215368822,0.00194838375,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___25.jpg
26,0.001889181,3.67470639e-05,0.000278352469,4.146951e-07,4.62322362e-07,0.7437965,0.253989547,8.780423e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___26.jpg
27,0.00172895589,0.000233806713,0.000975330651,4.30719729e-06,5.996733e-05,0.8558982,0.141052455,4.699462e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___27.jpg
28,0.000429103122,9.031791e-06,1.87742789e-05,2.6924333e-08,1.5529987e-06,0.665807962,0.333733469,9.53716963e-08,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___28.jpg
29,0.01909719,0.000481612,0.003409896,0.000228272824,9.523903e-06,0.776731849,0.198263258,0.00177838153,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___29.jpg
30,0.0007738218,6.59351863e-05,9.24473352e-05,1.38726747e-07,5.42928728e-06,0.763463855,0.235596538,1.82314352e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___30.jpg
31,0.224717379,0.0035505218,0.00354549382,0.0002133385,1.80457266e-06,0.7560158,0.008277552,0.00367813325,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___31.jpg
32,0.216927379,0.00349114626,0.0486336537,0.000650195871,9.367093e-05,0.608216763,0.00613969332,0.115847513,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___32.jpg
33,0.0233151633,0.001556812,0.0159190111,0.000164857862,5.49452052e-05,0.768538058,0.187495157,0.002956001,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___33.jpg
34,0.001194388,1.43351017e-05,5.92261276e-05,5.17644139e-07,5.497772e-06,0.814638257,0.184084982,2.81090752e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___34.jpg
35,0.0003275348,8.688128e-06,3.826975e-05,1.2493723e-07,3.08598061e-07,0.670682251,0.3289408,2.02141382e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___35.jpg
36,0.0128917675,0.000624411,0.00285281241,0.00015551773,9.988069e-05,0.7340774,0.248615146,0.0006830712,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___36.jpg
37,0.0195094161,0.000452950859,0.00362847745,0.0005271407,5.008306e-05,0.7984528,0.173181355,0.004197767,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___37.jpg
