"date","minute","variable","value","formatted_date","text","top_angry","top_sadness","top_surprise","top_happiness","top_disgust"
"1_23_17",1,"happiness",0.207160337894737,2017-01-23,"Mr. Spicer: Good afternoon, everyone. Thanks for coming out to our first official briefing here in the Brady Room. I was going to start of a little recap of the inauguration, but I think we&amp;#39;ve covered that pretty well. By the way, just as I get started, I know that Josh Earnest was voted the Most Popular Press Secretary by the Press Corp, so after reading and checking my Twitter feed, I shot Josh an e-mail last night letting him know that he can rest easy that his title is secure for at least the next few days. (laughter) Let me begin by saying that the President is closely monitoring the weather in the southeast. He spoke by phone with Governor Deal of Georgia yesterday and offered his condolences and support. Today President Trump is focused on fulfilling his pledge to pursue trade policies that put America first. The President began his day with a breakfast with key U.S. business leaders where the focus of the discussion was on job creation and growing our manufacturing base. Business leaders who attended included Michael Dell, the founder and CEO of Dell; Jeff Fettig, the",FALSE,FALSE,FALSE,TRUE,FALSE
"1_23_17",10,"surprise",0.0312955105833333,2017-01-23,"here in the beltway. Looking ahead, the President will have a breakfast tomorrow with the auto industry including heads of GM, Chrysler, and Ford He looks forward to hearing their ideas on how we can work together to bring more jobs back to this industry in particular. On Wednesday, the President will host a squaring in ceremony from new Secretary of Homeland Security, General James -- John Kelly. And then on Friday he will do the same for Secretary Mattis at the Department of Defense. On Thursday he will travel to Philadelphia to attend the Republican House and Senate retreat, and on Friday, he will welcome his first foreign head of state, British Prime Minster May. With that, I look forward to taking your questions. Daniel Halper, New York Post. The Press: Okay. Sean, thank you. When will we get the commencing of the building of a border law? Mr. Spicer: When will we what? The Press: When will you start building a border law? Mr. Spicer: I think the President has noted that",FALSE,FALSE,TRUE,FALSE,FALSE
"1_24_17",2,"surprise",0.0282935477333333,2017-01-24,"one of these groups that we meet with, that this was the first time -- in some cases, ever -- that they&amp;#39;ve been reached out to -- in almost every case, the first time they were invited into the Oval Office. And I really think that when you look at the level of concern and interest that he has in the American worker, it&amp;#39;s been clearly on display in the last 24 -- 36 hours. In addition to these productive meetings, the president also took major steps towards fulfilling some of his biggest campaign promises to the American people. He ushered in a new era of U.S. trade policy by withdrawing from the Trans-Pacific Partnership Agreement and restored respect for taxpayers by instituting a hiring freeze on the executive branch. He also re-affirmed his commitment to life by re-establishing the Mexico City policy. And the president ended his day yesterday with a bipartisan, bicameral meeting of Congressional leaders, where he made it clear that he expects there to be no delay in getting an agenda through -- his agenda through Congress and action out of Washington. This morning, the president began his day",FALSE,FALSE,TRUE,FALSE,FALSE
"1_24_17",8,"happiness",0.163539989316667,2017-01-24,"He continues to carefully consider potential future justices based on their commitment to upholding these principles. This meeting is an important opportunity for the president to consult with Senate leaders from both sides of the aisle on his potential choices for the bench. As you may have heard, Speaker Ryan extended an invitation to the president to address a joint session of Congress on February 28th. I&amp;#39;m pleased to inform you that the president has accepted that invitation, and he looks forward to sharing his plans for moving the country forward. I have a feeling, by the time we get to February 28th, we will have a lot to talk about. It was great to see the nominations of Dr. Carson, Secretary Chao, Mr. Ross, and Governor Haley were advanced out of committee today. Just as a reminder, by the end of the first week of President Obama&amp;#39;s first week in office, he had 12. So, the Senate&amp;#39;s got a little catching up to do, and I hope the Senate Democrats do their job and help us catch up that number. One quick follow-up on our storm relief efforts that have plagued the Southeast. White House staff is in touch with officials in",FALSE,FALSE,FALSE,TRUE,FALSE
"1_25_17",5,"surprise",0.0276363427166667,2017-01-25,"The American people are no longer going have to be forced to subsidize this disregard for our laws. Reform of our immigration system has been at the top of President Trump&amp;#39;s priority since he announced his candidacy. Now in just the final first week -- or excuse me just in the first week, we&amp;#39;re not there yet, of his presidency the last administration will enforce the rule of law and restore value to the American citizenship our greatest asset in the 21 century. As to the rest of the day&amp;#39;s schedule this morning the President started off his day in the Oval Office carrying out some official duties. This morning he had the honor to greet now Ambassador to the U.N. Nikki Haley in his office after the Vice President swore her in his ceremonial office across the street. As one of the most respected governors in the country Ambassador Haley has a proven track record of bringing people together regardless of their background or differences to create opportunities for bettering her state and now our nation.",FALSE,FALSE,TRUE,FALSE,FALSE
"1_25_17",9,"happiness",0.284553698181818,2017-01-25,"It happened actually during the transition period and we look forward to the Prime Minister attending. With that I&amp;#39;d love to take some questions, Dave Boyer Washington Times. The Press: Thank you, Sean. Can you shed any light on this draft memo that&amp;#39;s going around about interrogation practices in -- Mr. Spicer: Right, yes, I can lend a lot. The Press: -- what agency did it originate in? Mr. Spicer: I don&amp;#39;t know it is not a White House document. The Press: Did the White House -- Mr. Spicer: And I would just urge those people that have reported on it, this is now I think the second day that we&amp;#39;ve had a document that was not a White House document get reported on as a factual document. It is not a White House document. I have no idea where it came from. But it is not a White House document. The Press: Did the President direct that it be drafted in the first place? Mr. Spicer: No. I mean as I said it is not a White House document. So, I&amp;#39;m not sure where it came from or how it originated but it is not a White House document. I don&amp;#39;t know who much clearer I can say that. Laurie Montenegro from Telemundo. The Press: Thank you, Sean. With regards to the executive order the President will be signing",FALSE,FALSE,FALSE,TRUE,FALSE
"1_30_17",17,"happiness",0.2096820399157,2017-01-30,"for the Supreme Court and for a party preaching tolerance, it&amp;#39;s interesting to see some Democrats have already come out against this unnamed individual. So, with that, I&amp;#39;d be glad to take a few questions. The Press: Sean? Mr. Spicer: Yeah. The Press: Sean, over the weekend, President Trump requested that the King of Saudi Arabia join him by supporting safe zones in Syria. Mr. Spicer: Right. The Press: What type of support does President Trump intend to provide and when can Syrians expect to receive this support? Mr. Spicer: Well, I think it came up in several of his calls and that&amp;#39;s an important note. There is such strong agreement with how we address this problem and you&amp;#39;re seeing it from across the spectrum. It&amp;#39;s an important that we have stability in the region and I think the idea that this was an area of mutual discussion and agreement is important when we talk about stability in the region. And so, we&amp;#39;ll have continued discussions on it, but I think that first step of getting both sides on the first page was a huge step forward. Blake. The Press: Thanks, Sean. The President said today in that on-camera session with",FALSE,FALSE,FALSE,TRUE,FALSE
"1_30_17",4,"sadness",0.226800163766441,2017-01-30,"address online. Over 1.1 million people engaged with the post via comments, likes, and other interactions. And as of this morning, the video had been viewed almost 5 million times. And just as he did throughout the campaign, this is another example of the President being able to take his message directly to the American people. On Saturday, the President signed three executive actions on issues ranging from government ethics to national security. As part of the President&amp;#39;s plan to drain the swamp in Washington and return power to the American people, he signed an executive order imposing strict post-employment rules on all federal political appointees including a five-year lobbying ban and a lifetime ban for foreign government lobbying among other restrictions. The President continues to make it very, very clear that if you want to be part of a Trump administration you&amp;#39;re going to be putting -- serving the country, not yourself. The President also signed a memorandum modernizing the structure of the National Security Council and the Homeland Security Council.",FALSE,TRUE,FALSE,FALSE,FALSE
"1_31_17",3,"sadness",0.2233139633,2017-01-31,"plans as the day evolves. Moving to the news of the day, I know that Secretary Kelly alongside other DHS officials just recently concluded a briefing on the operational implementation of the President&amp;#39;s executive order. I think it&amp;#39;s pretty clear from the secretary&amp;#39;s press conference that this executive order was enacted with the proper preparation and coordination between the White House and DHS. And that implementation will continue and proceed as planned. We also have a few updates on the leadership of some of our most critical government agencies. Last night, as you know, the President relieved Sally Yates of her duties as acting attorney general and named Dana Boente as the U.S. Attorney for the U.S. District of Virginia to serve as the acting attorney general until democratic senators finally quit their obstruction and confirm the unquestionably qualified Senator Jess Sessions as our next attorney general. Ms. Yates failed to enforce a legal order approved by the Department of Justice&amp;#39;s Office of",FALSE,TRUE,FALSE,FALSE,FALSE
"1_31_17",6,"surprise",0.032069704846,2017-01-31,"Today, in the Senate, two of the President&amp;#39;s nominees advance out of the committee. The Energy and national Resources Committee approve the nominations of both Congressman Ryan Zinke as the next interior secretary and the nomination of former Texas governor Rick Perry as the next secretary of energy. Elaine Chao also gratefully received the approval from the full Senate to become the next secretary of transportation. I expect further guidance on her official swearing in to come very soon. The Senate democrats have done everything in their power to slow the work of the Senate while the President continues to take decisive action just like he promised during the thing. So it&amp;#39;s unfortunate that the Senate democrats remain so out of touch with the message that the American people sent this past November. The people want change. President Trump is delivering that change. And the only response from Senate democrats so far is to try to stall the core functions of our government. I know that I&amp;#39;ve repeated this every day, but honestly, it&amp;#39;s getting a bit ridiculous.",FALSE,FALSE,TRUE,FALSE,FALSE
