text,start,duration
"Mr. Spicer: Good afternoon, everybody.",0,2.035
Thanks for coming.,2.035,0.867
"Last night, the President was honored to announce",2.902,3.771
Judge Neil Gorsuch as his nominee to serve as the,6.673,3.103
next Justice of the Supreme Court.,9.776,1.501
It was an unbelievably phenomenal evening.,11.277,2.97
"Immediately after being announced, Judge Gorsuch",14.247,2.402
was honored to meet with Maureen and Father Scalia.,16.649,2.937
"As some of you have reported, his first call",19.586,2.569
after coming back behind the podium was to Merritt,22.155,2.269
"Garland who had also note, has already come out to",24.424,2.536
say Judge Gorsuch deserves a fair hearing.,26.96,2.669
"In less than 24 hours, Judge Gorsuch has already",29.629,2.803
received a wide-spread praise from across the,32.432,2.269
political spectrum as an inspired choice with,34.701,3.036
sterling academic credentials; a brilliant,37.737,3.237
"legal mind; and, a steadfast commitment to",40.974,3.336
constitutional principles.,44.31,2.203
"During his long career in public service, Judge",46.513,2.669
"Gorsuch has enjoyed bipartisan approval,",49.182,2.536
having previously been confirmed by voice,51.718,2.302
vote to the U.S.,54.02,1.402
Court of Appeals for the 10th Circuit.,55.422,3.203
"In fact, 12 current Democratic senators,",58.625,2.803
"including Minority Leader, Chuck Schumer, Senator",61.428,2.535
"Dianne Feinstein, Senator Leahy were all in office",63.963,3.337
when he was first confirmed without,67.3,2.102
opposition in 2006.,69.402,2.636
"With as many as eight Democrats like, Senator",72.038,2.202
"Blumenthal, Durbin, McCaskill, already",74.24,2.336
supporting a full hearing and vote for Judge,76.576,2.236
"Gorsuch, there is no question that he is a",78.812,2.502
widely respected jurist who deserves to have his,81.314,2.87
nomination fairly decided upon by the,84.184,2.502
United States Senate.,86.686,1.468
"Now that Judge Gorsuch has been officially named, I",88.154,2.569
hope you all will allow me to talk for a moment about,90.723,1.602
how exceptionally qualified he is to succeed,92.325,2.636
"the late, great, Antonin Scalia.",94.961,2.836
Judge Gorsuch&amp;#39;s academic record is impeccable and,97.797,2.77
"as he said last night, the President holds education",100.567,2.435
in the highest regard.,103.002,1.702
Judge Gorsuch graduated kappa-be -- phi kappa beta,104.704,3.504
from Columbia; graduated cum laude from Harvard Law,108.208,3.003
School and attended Oxford as a recipient of the,111.211,2.702
prestigious Marshall Scholarship.,113.913,3.003
"Like Justice Scalia, the cornerstone of Judge",116.916,2.636
Gorsuch&amp;#39;s judicial philosophy is fidelity,119.552,2.236
to the text.,121.788,1.234
He believes that judges should not base their,123.022,2.002
decisions solely on the law -- he believes --,125.024,1.335
"sorry, I don&amp;#39;t want to screw that one up -- that",126.359,1.335
his decisions should be based solely on the law,127.694,1.368
"and the Constitution, not on their own policies,",129.062,4.971
preferences or personal feelings.,136.135,1.635
He will be a reliable and principled voice on the,137.77,2.603
"bench, preserving equal justice under the law",140.373,3.07
regardless of background.,143.443,1.435
"And I would note, I think -- I always want to caveat",144.878,2.736
"this, but to my understanding, I think he",147.614,1.868
would be the first justice that will serve with a --,149.482,3.837
with the -- as someone he clerked for on the bench.,153.319,3.304
"So, it will be a sort -- a first when he is confirmed",156.623,2.936
by the Senate.,159.559,1.134
"Now, on to the issues of the day -- today is",160.693,2.503
"February 1st, which means we are kicking off Black",163.196,2.369
History Month.,165.565,1.168
The President has events planned throughout the,166.733,1.601
month starting today with a listening session that,168.334,3.804
occurred early this morning with African,172.138,1.869
American leaders in the Roosevelt Room.,174.007,1.968
The meeting also included some of the,175.975,1.335
Administration&amp;#39;s African American appointees.,177.31,2.803
"Later today, the President",180.113,1.168
will issue a proclamation. The U.S.,181.281,2.836
Postal Service kicked off the month by issuing the,184.117,2.002
"Dorothy Height Forever Stamp, the 40th stamp in",186.119,2.936
their black heritage series.,189.055,1.969
Dr. Height led the National Council of Negro,191.024,2.536
Women for four decades and was awarded the,193.56,3.103
Presidential Medal of Freedom by President Bill,196.663,2.269
Clinton in 1994 and the Congressional Medal of,198.932,3.069
Freedom by President George W.,202.001,2.169
"Bush in 2004 -- excuse me, 1994 and 2004.",204.17,3.37
"President Obama delivered her eulogy in 2010, and",207.54,3.103
President Trump is now proud that the Post Office,210.643,2.002
is honoring her incredible legacy as a,212.645,2.469
Civil Rights icon.,215.114,1.836
"At events throughout this entire month, we&amp;#39;ll",216.95,1.968
celebrate the contributions of,218.918,1.535
courageous African American leaders from,220.453,1.902
Harriet Tubman and Frederick Douglass to,222.355,2.069
"Martin Luther King, Jr. and Clarence Thomas.",224.424,3.136
"African American History is American History, and",227.56,2.669
this month is a great reminder of that.,230.229,2.503
"Continuing with today&amp;#39;s schedule, the Vice",232.732,1.902
President went to the Hill with Judge Gorsuch to meet,234.634,2.602
with lawmakers from the first time since being,237.236,2.837
named last night.,240.073,1.301
"On the Hill, the Vice President will -- met with",241.374,2.936
Majority Leader McConnell and the staff spearheading,244.31,2.503
Judge Gorsuch&amp;#39;s nomination will also meet with,246.813,1.868
"Senators Cornyn, Grassley, Hatch and Gardener.",248.681,3.437
"With Judge Gorsuch on Capitol Hill, I think it&amp;#39;s",252.118,2.169
a good time to talk about the confirmation process.,254.287,2.636
Neither of the two Supreme Court Justices that,256.923,1.902
President Obama nominated were subject to the,258.825,2.302
60-vote threshold of the Senate filibuster.,261.127,2.503
They received bipartisan support because,263.63,1.835
"Republicans, despite some political and",265.465,2.502
"philosophical differences, viewed them as",267.967,2.169
mainstream and qualified.,270.136,1.702
And Judge Gorsuch shall,271.838,1.468
receive the same fair treatment.,273.306,2.469
"Also, this morning, the President met in the",275.775,1.835
Roosevelt Room with representatives of outside,277.61,2.202
"groups to discuss Judge Gorsuch&amp;#39;s nomination,",279.812,2.536
including David O&amp;#39;Steen of the National Right to,282.348,2.269
Life; Paula White of the New Destiny Christian,284.617,2.936
Center; Wayne LaPierre of the National Rifle,287.553,2.303
Association; Penny Nance of Concerned Women of,289.856,2.736
