text,start,duration
Mr. Spicer: Forgive me were alittle late.,0,1.501
So ill  give Jim a break on this one. Thank you.,1.501,3.203
"Well you know, were getting ready for the season.",4.704,1.602
Weve got a couple coming.,6.306,2.636
"Sorry for the delay, guys.",8.942,1.101
It&amp;#39;s budget day.,10.043,0.967
I was supposed to kick this off with,15.048,1.802
Director Mulvaney.,16.85,1.401
"He&amp;#39;s still on a call with the governors, and",18.251,2.236
continues to host a ton of briefings today with,20.487,2.836
key stakeholders.,23.323,0.901
"And so my goal, if this times out right, is that",24.224,3.103
"as we finish up, Director Mulvaney will walk in the",27.327,2.302
"room, right on cue, and then he will talk to you a",29.629,3.137
"little bit about the budget, and we&amp;#39;ll walk",32.766,2.302
through Q&amp;amp;A on that.,35.068,1.468
So hopefully this all works.,36.536,1.902
I&amp;#39;m going to skip past the part where I say &amp;quot;thank,38.438,2.836
"you, Director Mulvaney.&amp;quot;",41.274,0.968
(Laughter.),42.242,2.502
"As the Director will say, the President&amp;#39;s budget",44.744,2.903
blueprint keeps his promise to put America&amp;#39;s,47.647,1.702
"security first, turning his words directly into",49.349,2.536
policies that restore respect for our citizens&amp;#39;,51.885,3.003
hard-earned tax dollars.,54.888,2.168
There were some additional non-events -- non-budget,57.056,3.104
events of the day.,60.16,1.368
"This morning, the President had a bilateral",61.528,1.534
meeting with Taoiseach Kenny of Ireland.,63.062,2.903
"Our two nations have a long history, common",65.965,2.203
"values, and important economic ties.",68.168,2.636
The President was honored to host him here in the,70.804,2.369
"Oval Office and recommit to strong social,",73.173,2.369
"political, and economic relations between the",75.542,2.469
U.S. and Ireland.,78.011,1.368
"This afternoon, the President made the remarks",79.379,2.269
at the Friends of Ireland Luncheon at the Capitol.,81.648,2.502
This traditional lunch celebrating America&amp;#39;s,84.15,2.169
bipartisan commitment to peace and security in,86.319,2.202
Ireland was started in 1983 by President Reagan,88.521,3.237
and Speaker O&amp;#39;Neill -- both proud Irish Americans,91.758,3.336
"-- and has been attended by every President,",95.094,1.736
"Speaker, and Taoiseach of Ireland since then.",96.83,3.103
"And also, while at the Capitol this afternoon,",99.933,2.102
"right around now, the Vice President is swearing in",102.035,3.17
former Senator Dan Coats as the next Director of,105.205,2.802
National Intelligence in his ceremonial office.,108.007,3.404
Former Senator Coats has clearly demonstrated the,111.411,2.135
deep subject -- the subject matter expertise,113.546,2.77
and sound judgment required to lead our,116.316,2.169
"intelligence community, and the President is",118.485,2.268
finally glad have him on board as part of him team.,120.753,3.237
"Later this evening, the President, along with",123.99,1.835
"Taoiseach Kenny, will attend the St. Patrick&amp;#39;s",125.825,2.67
Day Reception and participate in the,128.495,2.302
annual Shamrock Ceremony.,130.797,1.935
"Since 1952, the President has invited the Taoiseach",132.732,3.337
to come to the White House in celebration of,136.069,2.335
"St. Patrick&amp;#39;s Day, where they present a bowl of",138.404,3.07
shamrocks as a symbol of the profound and lasting,141.474,2.703
relationship between the two countries.,144.177,2.703
The President and Taoiseach Kenny,146.88,2.002
will also make remarks.,148.882,1.334
I have a few more notes before I get to,150.216,2.336
Director Mulvaney.,152.552,0.701
"First, I wanted to share with you guys -- it&amp;#39;s a",153.253,3.336
"letter that should be going out shortly, if it",156.589,2.469
"hasn&amp;#39;t already, that the President signed this",159.058,2.069
"morning, wishing Ray Chavez, the oldest living",161.127,3.337
"survivor of Pearl Harbor, a happy 105th birthday.",164.464,3.403
Our nation owes Mr. Chavez&amp;#39;s generation --,167.867,4.638
a Great Generation -- a debt of gratitude for an,172.505,2.169
extraordinary legacy of liberty and freedom around,174.674,2.236
"the world, fighting to ensure security and",176.91,2.302
prosperity for millions.,179.212,2.135
"A copy of the letter will be sent out,",181.347,2.836
if it hasn&amp;#39;t already.,184.183,1.268
"And obviously, we all extend our warm wishes to",185.451,3.571
Ray and his family and they celebrate his 105th.,189.022,2.969
And the President signed the letter wishing that he,191.991,2.536
hopes to have several more birthdays to come.,194.527,2.636
"This afternoon, the President announced his",197.163,2.436
intent to nominate several individuals to key posts,199.599,2.536
at the Department of Defense: Robert Daigle as,202.135,2.903
Director of Cost Assessment and Program,205.038,2.469
Evaluation; Elaine McCusker as Principal,207.507,3.303
Deputy Under Secretary of Defense; David Norquist as,210.81,3.904
Under Secretary of Defense and Comptroller; Kenneth,214.714,3.07
Rapuano as Assistant Secretary of Defense for,217.784,2.636
Homeland Defense and Global Security; Patrick,220.42,2.736
Shanahan as Deputy Secretary of Defense; and,223.156,1.535
David Joel Trachtenberg as Principal Deputy Under,224.691,1.334
Secretary of Defense for Policy.,226.025,6.907
The President is glad to have these extremely,232.932,1.735
qualified men and women on board to assist Secretary,234.667,3.003
Mattis as he undertakes the great rebuilding of,237.67,2.436
our nation&amp;#39;s military.,240.106,1.502
"Also this afternoon, the President declared a major",241.608,2.435
disaster in the State of California and ordered,244.043,2.503
"federal assistance to supplement state, tribal,",246.546,2.702
and local recovery efforts in the areas affected by,249.248,2.77
"severe winter storms, flooding, and",252.018,1.902
mudslides this January.,253.92,2.069
We also announced this afternoon that Second Lady,255.989,2.202
Karen Pence will lead the Presidential Delegation to,258.191,2.836
the 2017 Special Olympics,261.027,2.169
World Winter Games in Austria.,263.196,2.135
The House Budget Committee met earlier this morning,265.331,2.736
"and approved the American Health Care Act, making it",268.067,2.536
now the third committee to move the AHCA forward.,270.603,4.405
We&amp;#39;re working hand in glove with the House to,275.008,1.635
"consider improvements, and we&amp;#39;re confident that this",276.643,2.502
thoughtful and thorough process will lead to,279.145,2.669
"legislation that reforms our healthcare, making it",281.814,3.003
affordable and accessible to every American.,284.817,3.103
Since we won&amp;#39;t have a chance to meet tomorrow in,287.92,1.769
light of the President and Chancellor Merkel&amp;#39;s press,289.689,2.602
"conference, I wanted to quickly walk you through a",292.291,2.236
couple of events on the President&amp;#39;s schedule.,294.527,2.069
"Tomorrow, of course, the President will welcome",296.596,1.802
"German Chancellor Merkel here to the White House, a",298.398,3.27
"rescheduling from the snow, inclement weather",301.668,3.136
that prevented that from happening the other day.,304.804,1.435
The President and the Chancellor will have a,306.239,1.835
series of meetings and then will host a,308.074,1.368
roundtable focusing on the importance of vocational,309.442,3.203
training with both,312.645,1.168
American and German business leaders.,313.813,2.569
They will also have a press conference,316.382,1.368
in the afternoon.,317.75,1.135
We&amp;#39;ll have details on the,318.885,1.134
entire day later this afternoon.,320.019,2.77
"Also tomorrow, the President will attend a",322.789,2.035
listening session with Veterans Affairs and VA,324.824,3.537
Secretary Shulkin and representatives from the,328.361,2.369
various Veterans Service Organizations.,330.73,2.836
It&amp;#39;s incredibly important to the President that we,333.566,1.869
reform the VA system so that it can fulfill the,335.435,2.402
promises made to the men and women who risked their,337.837,2.803
lives for our nation.,340.64,1.701
He looks forward to discussing potential,342.341,1.635
changes that can help improve the,343.976,2.203
Veterans Administration.,346.179,1.801
"On Monday, the President will meet with Bill Gates,",347.98,1.969
the cofounder of Microsoft.,349.949,1.201
He&amp;#39;ll also have lunch with the Vice President and a,351.15,2.336
meeting with the Secretary of State.,353.486,1.835
"Later that afternoon, the President will welcome",355.321,1.902
Prime Minister Abadi of Iraq to the White House.,357.223,3.136
"And on Wednesday, the President has invited all",360.359,1.902
49 members of the Congressional Black Caucus,362.261,2.603
to come to the White House for a meeting.,364.864,1.969
The President looks forward to welcoming,366.833,1.601
[them] for what he hopes,368.434,0.701
will be a productive discussion.,369.135,1.868
And I also want to remind everyone that -- I did,371.003,1.936
"yesterday, via Twitter -- that the lottery for the",372.939,2.836
139th Annual White House Easter Egg Roll is open,375.775,3.203
until Saturday -- this coming Saturday.,378.978,3.403
Everyone who is interested in attending can go,382.381,2.67
to Recreation.gov.,385.051,1.735
Further information is at WhiteHouse.gov,386.786,1.868
for details.,388.654,1.368
"At his rally last night, the President addressed",390.022,1.836
the decision by the federal district court in,391.858,3.069
Hawaii to block his lawful executive order.,394.927,4.672
"As the President said last night, &amp;quot;The law and the",399.599,2.435
Constitution give the President the power to,402.034,3.537
suspend immigration when he deems it to be,405.571,2.036
necessary in the national interest...&amp;quot;,407.607,2.369
The Court didn&amp;#39;t even bother to quote the,409.976,1.968
"relevant statute in its opinion, which could have",411.944,2.97
plainly shown that the President clearly,414.914,1.702
has this authority.,416.616,1.368
"I know you&amp;#39;ve heard it before, but since the",417.984,1.701
"Court didn&amp;#39;t, let me quote it again for you.",419.685,2.169
8 U.S. Code 1182 states: &amp;quot;Whenever the President,421.854,3.804
finds [that] the entry of any aliens or of any class,425.658,3.67
of aliens into the United States would be,429.328,2.937
detrimental to the interests of the United,432.265,1.935
"States, he may by proclamation, and for such",434.2,3.303
"period as he [shall] deem necessary, suspend the",437.503,3.037
entry of all aliens or any class of aliens as,440.54,3.803
"immigrants or nonimmigrants, or impose",444.343,2.937
on the entry of aliens any restrictions he may deem,447.28,5.038
[to be] appropriate.&amp;quot;,452.318,0.667
The Department of Justice said in a statement that,452.985,1.936
they &amp;quot;strongly disagree[s] with the federal district,454.921,2.469
"court&amp;#39;s ruling, which is flawed both in reasoning",457.39,1.334
and [in] scope.&amp;quot;,458.724,0.668
"DOJ continued, &amp;quot;The President&amp;#39;s executive",459.392,1.334
order falls squarely within his lawful,460.726,1.335
authority in seeking to protect our nation&amp;#39;s,462.061,1.335
"security, and the Department will continue",463.396,1.368
to defend this executive order in the courts.&amp;quot;,464.764,1.334
The Department is exploring all available,466.098,6.407
options to vigorously,472.505,6.606
defend this executive order.,479.111,1.736
We intend to appeal the flawed rulings.,480.847,2.469
"Currently, the Department of Justice is determining",483.316,2.102
the legal strategy and timing.,485.418,1.968
We expect action to be taken soon to appeal the,487.386,2.169
ruling in the 4th Circuit and to seek clarification,489.555,2.67
of the order prior to appeal in the 9th Circuit.,492.225,3.203
"The danger is real, and the law is clear.",495.428,3.203
The President was elected to change our broken,498.631,1.868
"immigration system, and he will continue to exercise",500.499,2.737
his constitutional authority and presidential,503.236,2.402
responsibility to protect our nation.,505.638,2.97
"And just before I get to your questions, and then",508.608,2.202
"before we&amp;#39;ll introduce Director Mulvaney, I just",510.81,2.302
wanted to follow up on a couple of questions that,513.112,1.702
have come up recently.,514.814,1.501
Jon Decker asked multiple times on the enforcement,516.315,2.269
of the President&amp;#39;s executive order to,518.584,1.835
restrict lobbying activities of executive,520.419,2.336
"branch employees, which includes a five-year ban",522.755,2.769
on lobbying agencies where you&amp;#39;ve served and a,525.524,2.336
lifetime ban on lobbying from foreign governments.,527.86,2.269
